,accelx,accely,accelz,mag, steps, total_t
14.8,0.45,-1.04,0,1.133181362,,
14.85,0.33,-0.9,-0.01,0.958644877,,
14.9,0.37,-0.95,0.02,1.01970584,,
14.95,0.39,-1.02,0.03,1.092428487,,
15,0.55,-1.26,0.24,1.395600229,,
15.05,0.7,-1.31,0.39,1.535643188,,
15.1,0.14,-0.9,0.3,0.958957768,,
15.15,0.14,-0.94,0.2,0.971184843,,
15.2,0.17,-0.87,0.19,0.906587006,,
15.25,0.49,-0.97,0.23,1.110810515,,
15.3,0.66,-1.01,0.19,1.221392648,,
15.35,0.71,-0.88,0.17,1.143415935,,
15.4,0.8,-0.68,0.26,1.081665383,,
15.45,0.82,-0.61,0.35,1.080277742,,
15.5,0.71,-0.8,0.21,1.090045871,,
15.55,0.8,-1,0.35,1.327591805,,
15.6,0.95,-1.27,0.4,1.635665002,,
15.65,0.77,-1.12,0.27,1.385712813,,
15.7,0.79,-1.25,0.24,1.498065419,,
15.75,0.59,-1.15,0.03,1.292865035,,
15.8,0.75,-1.11,0.04,1.340223862,,
15.85,0.69,-0.94,-0.03,1.166447598,,
15.9,0.64,-0.91,0.05,1.113642672,,
15.95,0.65,-0.69,0.32,1.000499875,,
16,0.7,-0.46,0.63,1.048093507,,
16.05,0.64,-0.34,0.83,1.10186206,,
16.1,0.41,-0.32,0.85,0.996493853,,
16.15,0.34,-0.4,1.08,1.200833044,,
16.2,0.27,-0.29,0.84,0.928762618,,
16.25,0.23,-0.27,0.75,0.829638475,,
16.3,0.14,-0.24,0.79,0.837436565,,
16.35,0.14,-0.19,0.84,0.872525071,,
16.4,0.13,-0.17,0.88,0.905648939,,
16.45,0.16,-0.09,0.94,0.957757798,,
16.5,0.21,-0.11,0.98,1.008265838,,
16.55,0.12,-0.13,1.03,1.045083729,,
16.6,0.05,-0.14,1.02,1.030776406,,
16.65,0.06,-0.16,1.02,1.034214678,,
16.7,0.14,-0.06,1.06,1.070887482,,
16.75,0.13,-0.13,1.1,1.115257818,,
16.8,0.31,-0.15,1.15,1.200458246,,
16.85,0.21,-0.1,0.91,0.939255024,,
16.9,0.24,-0.17,0.92,0.965867486,,
16.95,0.21,-0.16,0.97,1.005286029,,
17,0.16,-0.24,0.95,0.992824254,,
17.05,0.27,-0.15,0.94,0.989444288,,
17.1,0.25,-0.08,0.98,1.014544233,,
17.15,0.35,-0.08,1,1.062497059,,
17.2,0.05,-0.27,0.93,0.969690672,,
17.25,0.32,-0.22,1.05,1.119508821,,
