,accelx,accely,accelz,mag, steps, time
20.7,0.96,-0.64,0.07,1.155897919,,
20.75,0.89,-0.48,0.23,1.037014947,,
20.8,0.86,-0.44,0.36,1.030921918,,
20.85,0.75,-0.72,0.35,1.096995898,,
20.9,0.54,-0.89,0.26,1.072986486,,
20.95,0.87,-1.21,0.63,1.617992583,,
21,1.01,-1.22,0.7,1.731617741,,
21.05,0.59,-1.2,0.5,1.427620398,,
21.1,0.49,-1.59,0.36,1.702292572,,
21.15,0.38,-1.18,0.22,1.259047259,,
21.2,0.53,-0.93,0.19,1.087152243,,
21.25,0.62,-0.92,0.13,1.117004924,,
21.3,0.43,-0.79,0.04,0.900333272,,
21.35,0.38,-0.55,0.07,0.672160695,,
21.4,0.33,-0.39,0.13,0.527162214,,
21.45,0.31,-0.4,0.2,0.544150714,,
21.5,0.23,-0.53,0.19,0.608194048,,
21.55,0.41,-1.76,0.35,1.840706386,,
21.6,0.92,-2,0.75,2.325704194,,
21.65,0.65,-1.13,0.47,1.385748895,,
21.7,0.41,-0.86,0.17,0.967780967,,
21.75,0.72,-0.82,0.1,1.095810203,,
21.8,0.59,-0.65,0.04,0.878749111,,
21.85,0.57,-0.61,0.1,0.84083292,,
21.9,0.57,-0.5,0.16,0.774919351,,
21.95,0.74,-0.56,0.35,0.991816515,,
22,0.81,-0.72,0.55,1.215318888,,
22.05,0.66,-0.73,0.45,1.082127534,,
22.1,0.48,-0.85,0.32,1.027277957,,
22.15,0.47,-1.17,0.4,1.32280006,,
22.2,0.39,-1,0.37,1.135341358,,
22.25,0.23,-0.88,0.27,0.948788701,,
22.3,0.29,-0.94,0.25,1.014987685,,
22.35,0.44,-0.86,0.21,0.988584847,,
22.4,0.63,-0.87,0.3,1.115257818,,
22.45,0.75,-0.96,0.37,1.273184983,,
22.5,0.52,-0.82,0.25,1.002646498,,
22.55,0.43,-0.79,0.21,0.923634127,,
22.6,0.4,-0.84,0.22,0.956033472,,
22.65,0.42,-0.87,0.24,0.995439601,,
22.7,0.52,-0.86,0.37,1.070934172,,
22.75,0.43,-0.85,0.39,1.029320164,,
22.8,0.55,-0.79,0.41,1.046279121,,
22.85,0.56,-0.82,0.4,1.070513895,,
22.9,0.59,-0.87,0.37,1.114405671,,
22.95,0.58,-0.83,0.35,1.071354283,,
23,0.53,-0.8,0.27,0.99689518,,
23.05,0.53,-0.84,0.25,1.02420701,,
23.1,0.55,-0.82,0.27,1.023621024,,
23.15,0.54,-0.81,0.28,1.012965942,,
23.2,0.5,-0.82,0.32,1.012324059,,
23.25,0.48,-0.83,0.35,1.020686044,,
23.3,0.5,-0.84,0.42,1.063954886,,
23.35,0.47,-0.83,0.4,1.034311365,,
23.4,0.51,-0.83,0.41,1.056929515,,
23.45,0.52,-0.84,0.37,1.054940757,,
23.5,0.53,-0.83,0.35,1.045131571,,
23.55,0.53,-0.83,0.33,1.038604833,,
23.6,0.54,-0.81,0.3,1.018675611,,
23.65,0.54,-0.81,0.31,1.021665307,,
23.7,0.52,-0.82,0.3,1.016267681,,
23.75,0.53,-0.82,0.32,1.027472627,,
23.8,0.52,-0.83,0.33,1.033537614,,
23.85,0.52,-0.83,0.35,1.040096149,,
23.9,0.5,-0.84,0.36,1.041729331,,
23.95,0.5,-0.83,0.36,1.033682737,,
24,0.54,-0.83,0.36,1.053612832,,
24.05,0.43,-0.85,0.34,1.011434625,,
24.1,0.52,-0.84,0.35,1.048093507,,
24.15,0.56,-0.84,0.35,1.068503627,,
24.2,0.44,-0.84,0.32,1.00079968,,
24.25,0.52,-0.83,0.35,1.040096149,,
24.3,0.51,-0.83,0.34,1.031794553,,
24.35,0.54,-0.83,0.33,1.043743263,,
24.4,0.51,-0.84,0.31,1.030436801,,
24.45,0.5,-0.83,0.33,1.023621024,,
24.5,0.5,-0.83,0.34,1.026888504,,
24.55,0.51,-0.84,0.34,1.039855759,,
24.6,0.51,-0.85,0.34,1.047950381,,
24.65,0.46,-0.84,0.34,1.016267681,,
24.7,0.52,-0.84,0.34,1.044796631,,
24.75,0.49,-0.83,0.32,1.015578653,,
24.8,0.51,-0.83,0.32,1.025377979,,
24.85,0.51,-0.83,0.32,1.025377979,,
24.9,0.51,-0.83,0.32,1.025377979,,
24.95,0.5,-0.84,0.33,1.031746093,,
25,0.5,-0.83,0.33,1.023621024,,
25.05,0.5,-0.84,0.34,1.034987923,,
25.1,0.5,-0.84,0.34,1.034987923,,
25.15,0.5,-0.84,0.33,1.031746093,,
25.2,0.51,-0.85,0.33,1.044748774,,
25.25,0.51,-0.84,0.31,1.030436801,,
25.3,0.51,-0.84,0.33,1.036629153,,
25.35,0.5,-0.85,0.32,1.036773842,,
25.4,0.5,-0.83,0.32,1.020441081,,
25.45,0.49,-0.84,0.34,1.030194156,,
25.5,0.5,-0.84,0.33,1.031746093,,
25.55,0.49,-0.84,0.32,1.023767552,,
25.6,0.49,-0.83,0.33,1.018773773,,
25.65,0.5,-0.84,0.32,1.02859127,,
25.7,0.49,-0.85,0.32,1.031988372,,
25.75,0.5,-0.84,0.32,1.02859127,,
25.8,0.49,-0.85,0.32,1.031988372,,
25.85,0.5,-0.84,0.32,1.02859127,,
25.9,0.49,-0.85,0.32,1.031988372,,
25.95,0.49,-0.85,0.32,1.031988372,,
26,0.49,-0.85,0.32,1.031988372,,
26.05,0.49,-0.84,0.32,1.023767552,,
26.1,0.49,-0.85,0.32,1.031988372,,
26.15,0.5,-0.85,0.32,1.036773842,,
26.2,0.49,-0.84,0.33,1.026937194,,
26.25,0.49,-0.84,0.31,1.020686044,,
26.3,0.5,-0.84,0.31,1.025524256,,
26.35,0.5,-0.85,0.31,1.033731106,,
26.4,0.49,-0.84,0.31,1.020686044,,
26.45,0.5,-0.86,0.31,1.041969289,,
26.5,0.49,-0.85,0.32,1.031988372,,
26.55,0.51,-0.85,0.33,1.044748774,,
26.6,0.48,-0.85,0.29,1.018331969,,
26.65,0.48,-0.84,0.33,1.022203502,,
26.7,0.47,-0.85,0.34,1.029077257,,
26.75,0.47,-0.82,0.35,1.007869039,,
26.8,0.46,-0.84,0.3,1.003593543,,
26.85,0.52,-0.85,0.33,1.049666614,,
26.9,0.56,-0.83,0.34,1.057402478,,
26.95,0.5,-0.83,0.32,1.020441081,,
27,0.48,-0.87,0.35,1.053470455,,
27.05,0.38,-0.87,0.33,1.005087061,,
27.1,0.53,-0.88,0.34,1.082081328,,
27.15,0.56,-0.83,0.34,1.057402478,,
27.2,0.51,-0.83,0.28,1.013607419,,
27.25,0.53,-0.84,0.32,1.043503713,,
27.3,0.46,-0.84,0.29,1.000649789,,
27.35,0.49,-0.85,0.33,1.035132842,,
27.4,0.48,-0.86,0.34,1.041921302,,
27.45,0.5,-0.85,0.33,1.039903842,,
27.5,0.49,-0.85,0.31,1.028931485,,
27.55,0.52,-0.84,0.32,1.038460399,,
27.6,0.48,-0.84,0.3,1.012916581,,
27.65,0.47,-0.84,0.31,1.011236866,,
27.7,0.5,-0.85,0.31,1.033731106,,
27.75,0.5,-0.86,0.32,1.044988038,,
27.8,0.49,-0.85,0.32,1.031988372,,
27.85,0.51,-0.84,0.31,1.030436801,,
